hour,pv_avail_pu,load_pu,pv_MW,slack_MW,storage_MW,soc_MWh,vmin_pu,vmax_pu,max_load_pct
1,0,0.730127576054956,0,2.71273973023697,-0.000315785192816326,0.300000018773917,0.931425556632559,1,60.5666006800481
2,0,0.683022571148185,0,2.53774464688318,-0.000315795067682854,0.300000023982621,0.936111388380864,1,56.509566612724
3,0,0.647693817468106,0,2.40649835411103,-0.000315822217031526,0.300000054964619,0.939599179045326,1,53.4817593718136
4,0,0.635917566241413,0,2.36465076200118,-0.00221700341431756,0.301805305443131,0.940598720458923,1,52.5199570280596
5,0,0.647693817468106,0,2.40618263635045,-1.0445645914395e-07,0.301503750063541,0.939625477247071,1,53.4743306957718
6,0,0.730127576054956,0,2.7124239507019,-5.6577424666878e-09,0.301202402265407,0.931452245956566,1,60.5590712555869
7,0,0.847890088321884,0,3.14991167972875,-1.6129659367882e-09,0.300901351800452,0.919554213594333,1,70.8047113582563
8,0.00265019322158599,0.965652600588813,0.0147682013881811,3.57263121005933,-2.60072282854778e-10,0.300600600914368,0.907783309197544,1,80.8616259880799
9,0.0600874270495593,1.04808635917566,0.334837186894364,3.55880363780792,-3.64695968244445e-10,0.300300150732749,0.907906717188089,1,80.7692581856108
10,0.199696568072627,1.08341511285574,1.11280912523583,2.91207802289013,-3.86687525020318e-09,0.300000004227232,0.923981232307986,1,66.0312950597476
11,0.430064985890358,1.08341511285574,2.39653713350444,1.62866580043143,-0.000315789676794637,0.300000004328154,0.947356982590729,1.00274287736196,39.1552059490661
12,0.609404164154179,1.05986261040236,3.39590470436444,0.77781922766171,-0.236334334381404,0.524105569112397,0.957069130257766,1.00761567496209,26.211117784527
13,0.681182586177169,1.02453385672228,3.79588996108794,0.798607417735022,-0.788354101099711,1.27214384036111,0.933978461581442,1.00948169073602,29.4204736373499
14,0.686651979987671,1.01275760549558,3.82636815809735,0.819416421032213,-0.883390074713497,2.10967350257627,0.928105414538827,1.00966304034917,30.2596728406656
15,0.665759490225249,1.03631010794897,3.70994475889663,0.840246264723681,-0.700298972589891,2.77251643147854,0.937615759693032,1.00903012249932,29.6850156373064
16,0.611266889035999,1.08341511285574,3.40628473876992,0.861096955201809,-0.242494549712654,2.99999999540112,0.954800000562887,1.00746731374661,27.9139771023364
17,0.480000869112983,1.17762512266928,2.67480484276379,1.70323030749939,-0.00315781954679347,2.99999992392344,0.943445141945449,1.00330325901471,41.6783794688421
18,0.23292523131536,1.3189401373896,1.29797585116616,3.60188675648951,2.74667517326353e-09,2.99700142024812,0.904537967805086,1,82.7661780434036
19,0.0809808600455909,1.41315014720314,0.45126584227301,4.14666539032392,0.651921564262712,2.30811563609313,0.8967992424827,1,95.36334367547
20,0.013762757464954,1.43670264965653,0.0766929656439669,4.26065740007559,0.999999977754455,1.25370317107152,0.89332120993402,1,98.2285711822284
21,0,1.33071638861629,0,4.1950070544216,0.748604329287902,0.464839342582586,0.898127086988969,1,96.073475765011
22,0,1.17762512266928,0,4.21921413433255,0.155663196383816,0.300600626317791,0.898684655356013,1,96.3904807024256
23,0,0.989205103042198,0,3.67489695540199,2.39978382471197e-09,0.300300173277639,0.904908221744292,1,83.3047411656534
24,0,0.836113837095191,0,3.10616290474776,6.08581692222053e-11,0.30000002294517,0.920756196633214,1,69.7733379005887
